,titles,authors,dates
0,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street","['by ', 'Nick Singh', ' and ', 'Kevin Huo']","['Aug 16, 2021']"
1,"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics","['by ', 'Thomas Nield']","['Jul 5, 2022']"
2,"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning","['by ', 'Alex J. Gutman', ' and ', 'Jordan Goldmeier']","['May 11, 2021']"
3,Data Science from Scratch: First Principles with Python,"['by ', 'Joel Grus']","['May 16, 2019']"
4,Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"['by ', 'Joe Reis', ' and ', 'Matt Housley']","['Jul 26, 2022']"
5,Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"['by ', 'Peter Bruce', ', ', 'Andrew Bruce', ', et al.']","['Jun 2, 2020']"
6,Python Data Science Handbook: Essential Tools for Working with Data,"['by ', 'Jake VanderPlas']","['Jan 3, 2017']"
7,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"['by ', 'Foster Provost', ' and ', 'Tom Fawcett']","['Sep 17, 2013']"
8,Data Science (The MIT Press Essential Knowledge series),"['by ', 'John D. Kelleher', ' and ', 'Brendan Tierney']","['Apr 13, 2018']"
9,Python for Data Science: A Hands-On Introduction,"['by ', 'Yuli Vasiliev']","['Aug 2, 2022']"
10,Data Science For Dummies (For Dummies (Computer/Tech)),"['by ', 'Lillian Pierson']","['Sep 15, 2021']"
11,Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,"['by ', 'Mike Cohen']","['Oct 18, 2022']"
12,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,"['by ', 'Chip Huyen']","['Jun 21, 2022']"
13,Storytelling with Data: A Data Visualization Guide for Business Professionals,"['by ', 'Cole Nussbaumer Knaflic']","['Nov 2, 2015']"
14,"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks","['by ', 'Jonathan Schwabish']","['Jan 15, 2021']"
15,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","['by ', 'Garrett Grolemund', ' and ', 'Hadley Wickham']","['Jan 31, 2017']"
0,How to Lead in Data Science,"['by ', 'Jike Chong', ' and ', 'Yue Cathy Chang']","['Dec 21, 2021']"
1,Be Data Driven: How Organizations Can Harness the Power of Data,"['by ', 'Jordan Morrow']","['Aug 30, 2022']"
2,Build a Career in Data Science,"['by ', 'Emily Robinson', ', ', 'Jacqueline Nolis', ', et al.']",[]
3,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","['by ', 'William McKinney']","['Nov 14, 2017']"
4,"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines","['by ', 'Chris Fregly', ' and ', 'Antje Barth']","['May 11, 2021']"
5,Naked Statistics: Stripping the Dread from the Data,"['by ', 'Charles Wheelan']","['Jan 13, 2014']"
6,Think Like a Data Scientist: Tackle the data science process step-by-step,"['by ', 'Brian Godsey']","['Apr 2, 2017']"
7,Data Smart: Using Data Science to Transform Information into Insight,"['by ', 'John W. Foreman']","['Nov 12, 2013']"
8,"Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics, Data Visualization, and Communicating Data)","['by ', 'Elizabeth Clarke']","['May 24, 2022']"
9,Foundations of Data Science,"['by ', 'Avrim Blum', ', ', 'John Hopcroft', ', et al.']","['Jan 1, 2020']"
10,The Kaggle Book: Data analysis and machine learning for competitive data science,"['by ', 'Konrad Banachewicz', ', ', 'Luca Massaron', ', et al.']","['Apr 22, 2022']"
11,"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence","['by ', 'Andrew Park']","['Jul 20, 2022']"
12,Living in Data: A Citizen's Guide to a Better Information Future,"['by ', 'Jer Thorp']","['Aug 30, 2022']"
13,The Art of Statistics: How to Learn from Data,"['by ', 'David Spiegelhalter']","['Aug 17, 2021']"
14,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems","['by ', 'Martin Kleppmann']","['May 2, 2017']"
15,Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,"['by ', 'Newton Alex']","['Feb 28, 2022']"
0,Machine Learning Design Interview: Machine Learning System Design Interview,"['by ', 'Khang Pham']","['Apr 29, 2022']"
1,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control","['by ', 'Steven L. Brunton', ' and ', 'J. Nathan Kutz']","['Jul 28, 2022']"
2,Communicating with Data: Making Your Case With Data,"['by ', 'Carl Allchin']","['Oct 26, 2021']"
3,Minding the Machines: Building and Leading Data Science and Analytics Teams,"['by ', 'Jeremy Adamson']","['Jul 27, 2021']"
4,Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,"['by ', 'Nathan George']","['Sep 30, 2021']"
5,"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition","['by ', 'Stephen Klosterman']","['Jul 29, 2021']"
6,"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL","['by ', 'Walter Shields']","['Nov 18, 2019']"
7,"The Nature of Data: Infrastructures, Environments, Politics","['by ', 'Jenny Goldstein', ' and ', 'Eric Nost']","['Oct 1, 2022']"
8,Text as Data: A New Framework for Machine Learning and the Social Sciences,"['by ', 'Justin Grimmer', ', ', 'Margaret E. Roberts', ', et al.']","['Mar 29, 2022']"
9,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools","['by ', 'David Mertz']","['Mar 31, 2021']"
10,Modern Deep Learning for Tabular Data: Novel Approaches to Common Modeling Problems,"['by ', 'Andre Ye', ' and ', 'Andy Wang']","['Jan 3, 2023']"
11,Probability and Statistics for Data Science: Math + R + Data (Chapman & Hall/CRC Data Science Series),"['by ', 'Norman Matloff']","['Jul 1, 2019']"
12,Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),"['by ', 'Benjamin S. Baumer', ', ', 'Daniel T. Kaplan', ', et al.']","['Apr 14, 2021']"
13,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,"['by ', 'Yoon Hyup Hwang']","['Mar 29, 2019']"
14,Getting Started with Data Science: Making Sense of Data with Analytics (IBM Press),"['by ', 'Murtaza Haider']","['Dec 23, 2015']"
