,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
0,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","['by ', 'William McKinney']",$53.99,547 pages,4.6 out of 5 stars,"1,631 ratings",['\n            \n              76%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 1.11 x 9.19 inches,2.08 pounds,English,"O'Reilly Media; 2nd edition (November 14, 2017)", 978-1491957660,/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_5?keywords=data+analysis&qid=1663454597&sr=8-5
1,"Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics, Data Visualization, and Communicating Data)",[' '],$14.49,148 pages,4.2 out of 5 stars,17 ratings,['\n            \n              55%\n            \n          '],['\n            \n              24%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              8%\n            \n          '],[],5.5 x 0.37 x 8.5 inches,8.8 ounces,English,"Kenneth Michael Fornari (May 24, 2022)", 978-1777967130,/Everything-Analytics-Beginners-Guide-Literacy/dp/1777967139/ref=sr_1_7?keywords=data+analysis&qid=1663454597&sr=8-7
2,"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter","['by ', 'Wes McKinney']",$62.99,579 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],9.1 x 1.2 x 6.9 inches,2.07 pounds,English,"O'Reilly Media; 3rd edition (September 20, 2022)", 978-1098104030,/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_6?keywords=data+analysis&qid=1663454597&sr=8-6
3,"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition","['by ', 'Avinash Navlani', ', ', 'Armando Fandango', ', et al.']",$34.99,478 pages,4.7 out of 5 stars,45 ratings,['\n            \n              84%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              3%\n            \n          '],[],7.5 x 1.08 x 9.25 inches,1.79 pounds,English,"Packt Publishing; 3rd ed. edition (February 5, 2021)", 978-1789955248,/Python-Data-Analysis-collection-visualization/dp/1789955246/ref=sr_1_15?keywords=data+analysis&qid=1663454597&sr=8-15
4,"R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics","['by ', 'JD Long', ' and ', 'Paul Teetor']",$52.39,600 pages,4.5 out of 5 stars,104 ratings,['\n            \n              71%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              4%\n            \n          '],[],7 x 1.21 x 9.19 inches,2.08 pounds,English,"O'Reilly Media; 2nd edition (July 16, 2019)", 978-1492040682,/Cookbook-Recipes-Analysis-Statistics-Graphics/dp/1492040681/ref=sr_1_8?keywords=data+analysis&qid=1663454597&sr=8-8
5,Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365) (Business Skills),"['by ', 'Wayne Winston']",$40.99,1168 pages,4.6 out of 5 stars,51 ratings,['\n            \n              75%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              5%\n            \n          '],[],7.4 x 2.3 x 9.1 inches,4.12 pounds,English,"Microsoft Press; 7th edition (December 16, 2021)", 978-0137613663,/Microsoft-Analysis-Business-Modeling-Office/dp/0137613660/ref=sr_1_10?keywords=data+analysis&qid=1663454597&sr=8-10
6,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,"['by ', 'Cathy Tanimura']",$40.49,360 pages,4.7 out of 5 stars,50 ratings,['\n            \n              78%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              3%\n            \n          '],[],[],6.75 x 0.75 x 8.75 inches,1.2 pounds,English,"O'Reilly Media; 1st edition (October 5, 2021)", 978-1492088783,/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1663454597&sr=8-9
7,Data Analysis for Social Science: A Friendly and Practical Introduction,"['by ', 'Elena Llaudet', ' and ', 'Kosuke Imai']",$39.95,256 pages,,,[],[],[],[],[],,1.11 pounds,English,"Princeton University Press (November 29, 2022)", 978-0691199436,/Data-Analysis-Social-Science-Introduction/dp/0691199434/ref=sr_1_14?keywords=data+analysis&qid=1663454597&sr=8-14
8,Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"['by ', 'Oz du Soleil', ' and ', 'Bill Jelen']",$34.95,274 pages,5.0 out of 5 stars,3 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],8.25 x 0.6 x 10.75 inches,1.4 pounds,English,"Holy Macro! Books; Third edition (August 1, 2022)", 978-1615470747,/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_12?keywords=data+analysis&qid=1663454597&sr=8-12
9,Qualitative Data Analysis: A Methods Sourcebook,"['by ', 'Matthew B. Miles', ', ', 'A. Michael Huberman', ', et al.']",$85.50,408 pages,4.7 out of 5 stars,197 ratings,['\n            \n              84%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              2%\n            \n          '],[],8.5 x 0.92 x 11 inches,2.15 pounds,English,"SAGE Publications, Inc; 4th edition (January 22, 2019)", 978-1506353074,/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_11?keywords=data+analysis&qid=1663454597&sr=8-11
