,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
0,Python Programming For Beginners: The Most Updated Bible to Master Python From Scratch in Less Than 7 Minutes a Day | Learn How to Program With Hands-On Exercises,"['by ', 'Leonard J. Ledger']",,,5.0 out of 5 stars,300 ratings,['\n            \n              97%\n            \n          '],['\n            \n              3%\n            \n          '],[],[],[],,,English,,,/Python-Programming-Beginners-Hands-Exercises-ebook/dp/B0BCL3D56T/ref=sr_1_26?keywords=python&qid=1663459261&sr=8-26
1,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","['by ', 'William McKinney']",$53.99,547 pages,4.6 out of 5 stars,"1,631 ratings",['\n            \n              76%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 1.11 x 9.19 inches,2.08 pounds,English,"O'Reilly Media; 2nd edition (November 14, 2017)", 978-1491957660,/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_22?keywords=python&qid=1663459261&sr=8-22
2,Memorable Python: Learn Python Faster,"['by ', 'Jeff Hale']", $17.34 ,167 pages,4.5 out of 5 stars,4 ratings,['\n            \n              50%\n            \n          '],['\n            \n              50%\n            \n          '],[],[],[],,,English,"Memorable Tech (November 1, 2019)",,/Memorable-Python-Learn-Faster-ebook/dp/B07ZXJKKSN/ref=sr_1_21?keywords=python&qid=1663459261&sr=8-21
3,Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code,"['by ', 'Al Sweigart']",$30.22,384 pages,4.7 out of 5 stars,236 ratings,['\n            \n              80%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              1%\n            \n          '],[],7 x 0.94 x 9.25 inches,1.6 pounds,English,"No Starch Press (December 16, 2020)", 978-1593279660,/Python-Beyond-Basics-Al-Sweigart/dp/1593279663/ref=sr_1_23?keywords=python&qid=1663459261&sr=8-23
4,Python (2nd Edition): Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),[' '],,175 pages,4.5 out of 5 stars,"1,476 ratings",['\n            \n              69%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],,,"Concepts are presented in a ""to-the-point"" style to cater to the busy individual. With this book, you can learn Python in just one day and start coding immediately. ","Learn Coding Fast; 2nd edition (May 10, 2017)",,/Python-2nd-Beginners-Hands-Project-ebook/dp/B071Z2Q6TQ/ref=sr_1_24?keywords=python&qid=1663459261&sr=8-24
5,"Fluent Python: Clear, Concise, and Effective Programming","['by ', 'Luciano Ramalho']",$50.99,1012 pages,4.7 out of 5 stars,118 ratings,['\n            \n              85%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 2 x 9.25 inches,3.48 pounds,English,"O'Reilly Media; 2nd edition (May 10, 2022)", 978-1492056355,/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_25?keywords=python&qid=1663459261&sr=8-25
6,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming","['by ', 'Eric Matthes']",$21.49,544 pages,4.7 out of 5 stars,"7,425 ratings",['\n            \n              81%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              1%\n            \n          '],7 x 1.2 x 9.25 inches,2.3 pounds,"""Brilliant.""","No Starch Press; 2nd edition (May 3, 2019)", 978-1593279288,/Python-Crash-Course-2nd-Edition/dp/1593279280/ref=sr_1_5?keywords=python&qid=1663459261&sr=8-5
7,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming","['by ', 'Eric Matthes']",$21.49,544 pages,4.7 out of 5 stars,"7,425 ratings",['\n            \n              81%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              1%\n            \n          '],7 x 1.2 x 9.25 inches,2.3 pounds,"""Brilliant.""","No Starch Press; 2nd edition (May 3, 2019)", 978-1593279288,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0831503HPEB85GXQZE0&url=%2FPython-Crash-Course-2nd-Edition%2Fdp%2F1593279280%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dpython%26qid%3D1663459261%26sr%3D8-1-spons%26psc%3D1&qualifier=1663459261&id=8731786596037934&widgetName=sp_atf
8,Python Programming for Beginners: The Ultimate Crash Course to Learn Python in 7 Days with Step-by-Step Guidance and Hands-On Exercises,"['by ', 'Andrew Park']", $13.95 ,124 pages,4.5 out of 5 stars,183 ratings,['\n            \n              77%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              5%\n            \n          '],8 x 0.28 x 10 inches,11.8 ounces,English,"Independently published (June 17, 2022)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0090242399S95QDDZH5N&url=%2FPython-Programming-Beginners-Step-Hands%2Fdp%2FB0B3S3RFQT%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dpython%26qid%3D1663459261%26sr%3D8-4-spons%26psc%3D1&qualifier=1663459261&id=8731786596037934&widgetName=sp_atf
9,Python for Everybody: Exploring Data in Python 3,"['by ', 'Dr. Charles Russell Severance', ', ', 'Sue Blumenberg', ', et al.']",$9.99,247 pages,4.6 out of 5 stars,"2,467 ratings",['\n            \n              76%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 0.56 x 10 inches,15.2 ounces,English,"CreateSpace Independent Publishing Platform (April 9, 2016)", 978-1530051120,/Python-Everybody-Exploring-Data/dp/1530051126/ref=sr_1_16?keywords=python&qid=1663459261&sr=8-16
