,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
0,The Science of Deep Learning,"['by ', 'Iddo Drori']",$59.99,450 pages,,,[],[],[],[],[],6.89 x 0.79 x 9.84 inches,1.8 pounds,English,"Cambridge University Press; New edition (November 3, 2022)", 978-1108835084,/Science-Deep-Learning-Iddo-Drori/dp/1108835082/ref=sr_1_9?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-9
1,"Inside Deep Learning: Math, Algorithms, Models","['by ', 'Edward Raff']",$45.20,600 pages,5.0 out of 5 stars,6 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],7.38 x 1.7 x 9.25 inches,2.7 pounds,English,"Manning; Annotated edition (May 31, 2022)", 978-1617298639,/Inside-Deep-Learning-Algorithms-Models/dp/1617298638/ref=sr_1_12?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-12
2,Mathematical Aspects of Deep Learning,"['by ', 'Philipp Grohs', ' and ', 'Gitta Kutyniok']",$89.99,485 pages,,,[],[],[],[],[],,1.74 pounds,English,"Cambridge University Press; New edition (February 28, 2023)", 978-1316516782,/Mathematical-Aspects-Learning-Philipp-Grohs/dp/1316516784/ref=sr_1_10?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-10
3,Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD,"['by ', 'Jeremy Howard', ' and ', 'Sylvain Gugger']",$36.99,624 pages,4.8 out of 5 stars,418 ratings,['\n            \n              86%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              1%\n            \n          '],6.9 x 1.1 x 9.1 inches,2.05 pounds,English,"O'Reilly Media; 1st edition (August 11, 2020)", 978-1492045526,/Deep-Learning-Coders-fastai-PyTorch/dp/1492045527/ref=sr_1_8?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-8
4,Deep Learning with PyTorch Step-by-Step: A Beginner's Guide: Volume I: Fundamentals,[' '], $3.94 ,282 pages,5.0 out of 5 stars,10 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],,,English,,,/Deep-Learning-PyTorch-Step-Step-ebook/dp/B09R144ZC2/ref=sr_1_13?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-13
5,Practical Deep Learning: A Python-Based Introduction,"['by ', 'Ronald T. Kneusel']",$36.54,464 pages,4.8 out of 5 stars,35 ratings,['\n            \n              85%\n            \n          '],['\n            \n              15%\n            \n          '],[],[],[],7.06 x 1.13 x 9.25 inches,1.94 pounds,English,"No Starch Press (February 23, 2021)", 978-1718500747,/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_11?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-11
6,"Deep Learning with PyTorch: Build, train, and tune neural networks using Python tools","['by ', 'Eli Stevens', ', ', 'Luca Antiga', ', et al.']",$36.26,520 pages,4.4 out of 5 stars,93 ratings,['\n            \n              72%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              4%\n            \n          '],7.38 x 1 x 9.25 inches,1.98 pounds,English,"Manning; 1st edition (August 4, 2020)", 978-1617295263,/Deep-Learning-PyTorch-Eli-Stevens/dp/1617295264/ref=sr_1_15?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-15
7,Deep Learning from Scratch: Building with Python from First Principles,"['by ', 'Seth Weidman']",$38.99,252 pages,4.4 out of 5 stars,79 ratings,['\n            \n              66%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],7 x 0.53 x 9.19 inches,14.4 ounces,English,"O'Reilly Media; 1st edition (October 1, 2019)", 978-9352139026,/Deep-Learning-Scratch-Building-Principles/dp/1492041416/ref=sr_1_14?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-14
8,"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing, and Transformers Using TensorFlow","['by ', 'Magnus Ekman']",$53.23,752 pages,4.7 out of 5 stars,66 ratings,['\n            \n              84%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],7.3 x 1.1 x 9 inches,2.43 pounds,English,"Addison-Wesley Professional; 1st edition (August 17, 2021)", 978-0137470358,/Learning-Deep-Processing-Transformers-TensorFlow/dp/0137470355/ref=sr_1_7?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-7
9,Deep Learning: A Visual Approach,"['by ', 'Andrew Glassner']",$56.99,776 pages,4.7 out of 5 stars,90 ratings,['\n            \n              86%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              5%\n            \n          '],7.06 x 1.34 x 9.25 inches,3.7 pounds,English,"No Starch Press; Illustrated edition (June 29, 2021)", 978-1718500723,/Deep-Learning-Approach-Andrew-Glassner/dp/1718500726/ref=sr_1_5?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-5
10,"Deep Learning with Python, Second Edition","['by ', 'Francois Chollet']",$37.23,504 pages,4.6 out of 5 stars,148 ratings,['\n            \n              82%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],7.38 x 1.4 x 9.25 inches,2.3 pounds,English,"Manning; 2nd edition (December 21, 2021)", 978-1617296864,/Learning-Python-Second-Fran%C3%A7ois-Chollet/dp/1617296864/ref=sr_1_4?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-4
11,Deep Learning (The MIT Press Essential Knowledge series),[' '],$13.99,296 pages,4.5 out of 5 stars,305 ratings,['\n            \n              67%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              1%\n            \n          '],5.06 x 0.74 x 6.94 inches,9.3 ounces,English,"The MIT Press; Illustrated edition (September 10, 2019)", 978-0262537551,/Deep-Learning-Press-Essential-Knowledge/dp/0262537559/ref=sr_1_6?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-6
12,Deep Learning (Adaptive Computation and Machine Learning series),[' '],$54.25,800 pages,4.3 out of 5 stars,"1,862 ratings",['\n            \n              73%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              8%\n            \n          '],9.1 x 7.2 x 1.1 inches,2.54 pounds,English,"The MIT Press; Illustrated edition (November 18, 2016)", 978-0262035613,/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618/ref=sr_1_3?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-3
13,"Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence (Addison-Wesley Data & Analytics Series)",[' '],$44.39,416 pages,4.5 out of 5 stars,189 ratings,['\n            \n              76%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              5%\n            \n          '],7 x 0.95 x 9.05 inches,1.28 pounds,English,"Addison-Wesley Professional; 1st edition (September 18, 2019)", 978-0135116692,/Deep-Learning-Illustrated-Intelligence-Addison-Wesley/dp/0135116694/ref=sr_1_26?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-26
14,Deep Learning: Convolutional Neural Networks with Tensorflow 2 Online Course,"['by ', 'Lazy Programmer']",,,,,[],[],[],[],[],,,,,,/Deep-Learning-Convolutional-Networks-Tensorflow/dp/B0BDLBS1DF/ref=sr_1_54?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-54
15,Deep Learning from Scratch: Building with Python from First Principles,"['by ', 'Seth Weidman']",$38.99,252 pages,4.4 out of 5 stars,79 ratings,['\n            \n              66%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],7 x 0.53 x 9.19 inches,14.4 ounces,English,"O'Reilly Media; 1st edition (October 1, 2019)", 978-9352139026,/sspa/click?ie=UTF8&spc=MToxMjU1NDM5NTIwMjk1OTM0OjE2NjM0NjA0NTM6c3BfYXRmOjIwMDA3MTA0OTM1OTA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FDeep-Learning-Scratch-Building-Principles%2Fdp%2F1492041416%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460453%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-1-spons%26psc%3D1
16,Deep Learning Architectures: A Mathematical Approach (Springer Series in the Data Sciences),[' '],$58.99,790 pages,4.2 out of 5 stars,14 ratings,['\n            \n              66%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              9%\n            \n          '],[],6.14 x 1.57 x 9.21 inches,3.26 pounds,English,"Springer; 1st ed. 2020 edition (February 14, 2021)", 978-3030367237,/Deep-Learning-Architectures-Mathematical-Approach/dp/3030367231/ref=sr_1_58?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-58
17,Foundations of Deep Reinforcement Learning: Theory and Practice in Python (Addison-Wesley Data & Analytics Series),[' '],$45.59,416 pages,4.4 out of 5 stars,82 ratings,['\n            \n              69%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              4%\n            \n          '],6.93 x 0.71 x 9.21 inches,1.32 pounds,English,"Addison-Wesley Professional; 1st edition (December 5, 2019)", 978-0135172384,/Deep-Reinforcement-Learning-Python-Hands/dp/0135172381/ref=sr_1_53?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-53
18,Dive Into Deep Learning: Tools for Engagement,"['by ', 'Joanne Quinn', ', ', 'Joanne J. McEachen', ', et al.']",$38.95,296 pages,4.7 out of 5 stars,36 ratings,['\n            \n              81%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              8%\n            \n          '],[],[],8.4 x 0.7 x 10.9 inches,1.79 pounds,English,"Corwin; First edition (August 20, 2019)", 978-1544361376,/Dive-Into-Deep-Learning-Engagement/dp/1544361378/ref=sr_1_56?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-56
19,Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms,"['by ', 'Nithin Buduma', ', ', 'Joe Papa', ', et al.']",$50.99,387 pages,,,[],[],[],[],[],7 x 0.75 x 9.25 inches,1.4 pounds,English,"O'Reilly Media; 2nd edition (June 21, 2022)", 978-1492082187,/sspa/click?ie=UTF8&spc=MToxMjU1NDM5NTIwMjk1OTM0OjE2NjM0NjA0NTM6c3BfYXRmOjIwMDA3MTA0OTM1ODk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FFundamentals-Deep-Learning-Next-Generation-Intelligence%2Fdp%2F149208218X%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460453%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-2-spons%26psc%3D1
