,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
0,Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science,"['by ', 'Samuel Hack', ' and ', 'Sean Antony']",,,3.1 out of 5 stars,13 ratings,['\n            \n              31%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              24%\n            \n          '],,,,,,/Machine-Learning-Programming-Understand-Intelligence/dp/B086R6JFLW/ref=sr_1_7?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-7
1,Introduction to Machine Learning with Python: A Guide for Data Scientists,[' '],$45.00,398 pages,4.5 out of 5 stars,565 ratings,['\n            \n              76%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],7 x 0.82 x 9.19 inches,1.3 pounds,English,"O'Reilly Media; 1st edition (November 15, 2016)", 978-1449369415,/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_10?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-10
2,The Hundred-Page Machine Learning Book,"['by ', 'Andriy Burkov']",$31.99,160 pages,4.6 out of 5 stars,816 ratings,['\n            \n              81%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],7.5 x 0.38 x 9.25 inches,13.8 ounces,English,"Andriy Burkov (January 13, 2019)", 978-1999579500,/Hundred-Page-Machine-Learning-Book/dp/199957950X/ref=sr_1_9?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-9
3,Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series),[' '],$99.00,864 pages,4.4 out of 5 stars,73 ratings,['\n            \n              76%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              8%\n            \n          '],8.25 x 1.44 x 9.29 inches,3.4 pounds,English,"The MIT Press (March 1, 2022)", 978-0262046824,/Probabilistic-Machine-Learning-Introduction-Computation/dp/0262046822/ref=sr_1_8?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-8
4,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","['by ', 'Aurélien Géron']",$56.16,856 pages,4.8 out of 5 stars,"3,277 ratings",['\n            \n              85%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 1.2 x 9.2 inches,2.53 pounds,English,"O'Reilly Media; 2nd edition (October 15, 2019)", 978-1492032649,/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646/ref=sr_1_6?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-6
5,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,"['by ', 'Chip Huyen']",$43.49,386 pages,4.7 out of 5 stars,118 ratings,['\n            \n              79%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              1%\n            \n          '],7 x 0.75 x 9 inches,1.36 pounds,English,"O'Reilly Media; 1st edition (June 21, 2022)", 978-1098107963,/Designing-Machine-Learning-Systems-Production-Ready/dp/1098107969/ref=sr_1_5?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-5
6,Machine Learning Design Interview: Machine Learning System Design Interview,"['by ', 'Khang Pham']", $34.15 ,210 pages,3.6 out of 5 stars,57 ratings,['\n            \n              47%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              22%\n            \n          '],6 x 0.48 x 9 inches,11.8 ounces,English,"Independently published (April 29, 2022)",,/Machine-Learning-Design-Interview-System/dp/B09YQWX59Z/ref=sr_1_24?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-24
7,Deep Learning (Adaptive Computation and Machine Learning series),[' '],$54.25,800 pages,4.3 out of 5 stars,"1,862 ratings",['\n            \n              73%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              8%\n            \n          '],9.1 x 7.2 x 1.1 inches,2.54 pounds,English,"The MIT Press; Illustrated edition (November 18, 2016)", 978-0262035613,/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618/ref=sr_1_23?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-23
8,Machine Learning Engineering,"['by ', 'Andriy Burkov']",$39.49,310 pages,4.7 out of 5 stars,222 ratings,['\n            \n              87%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],7.5 x 0.73 x 9.25 inches,1.18 pounds,English,"True Positive Inc. (September 5, 2020)", 978-1999579579,/Machine-Learning-Engineering-Andriy-Burkov/dp/1999579577/ref=sr_1_22?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-22
9,"Feature Store for Machine Learning: Curate, discover, share and serve ML features at scale","['by ', 'Jayanth Kumar M J']",$39.99,280 pages,5.0 out of 5 stars,3 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],7.5 x 0.64 x 9.25 inches,1.07 pounds,English,"Packt Publishing (June 30, 2022)", 978-1803230061,/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDA2NTU3ODcyMzM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FFeature-Store-Machine-Learning-discover%2Fdp%2F1803230061%2Fref%3Dsr_1_4_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-4-spons%26psc%3D1
10,Machine Learning Fundamentals,"['by ', 'Hui Jiang']",$47.49,418 pages,4.3 out of 5 stars,6 ratings,['\n            \n              65%\n            \n          '],['\n            \n              35%\n            \n          '],[],[],[],8 x 1 x 10 inches,2.01 pounds,English,"Cambridge University Press; New edition (March 24, 2022)", 978-1108940023,/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDA0NDMyODY1Mjk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMachine-Learning-Fundamentals-Concise-Introduction%2Fdp%2F1108940021%2Fref%3Dsr_1_1_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-1-spons%26psc%3D1
11,Machine Learning Fundamentals,"['by ', 'Hui Jiang']",$47.49,418 pages,4.3 out of 5 stars,6 ratings,['\n            \n              65%\n            \n          '],['\n            \n              35%\n            \n          '],[],[],[],8 x 1 x 10 inches,2.01 pounds,English,"Cambridge University Press; New edition (March 24, 2022)", 978-1108940023,/Machine-Learning-Fundamentals-Concise-Introduction/dp/1108940021/ref=sr_1_21?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464985&sprefix=deep+learning%2Caps%2C627&sr=8-21
12,"Applied Machine Learning Explainability Techniques: Make ML models explainable and trustworthy for practical applications using LIME, SHAP, and more","['by ', 'Aditya Bhattacharya']",$44.99,306 pages,5.0 out of 5 stars,2 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],7.5 x 0.69 x 9.25 inches,1.16 pounds,English,"Packt Publishing (July 29, 2022)", 978-1803246154,/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDA3NzczNjQ3Mjg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FApplied-Machine-Learning-Explainability-Techniques%2Fdp%2F1803246154%2Fref%3Dsr_1_3_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-3-spons%26psc%3D1
13,"Python Machine Learning for Beginners: Learning from scratch NumPy, Pandas, Matplotlib, Seaborn, Scikitlearn, and TensorFlow for Machine Learning and ... Learning & Data Science for Beginners)","['by ', 'AI Publishing']",$19.99,304 pages,4.5 out of 5 stars,55 ratings,['\n            \n              73%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],6 x 0.69 x 9 inches,14.6 ounces,English,"AI Publishing LLC (October 23, 2020)", 978-1734790153,/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDAzNjc0MTgzOTQ2MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FPython-Machine-Learning-Beginners-Scikitlearn%2Fdp%2F1734790156%2Fref%3Dsr_1_2_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-2-spons%26psc%3D1
