,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
0,"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics","['by ', 'Thomas Nield']",$44.80,347 pages,4.5 out of 5 stars,27 ratings,['\n            \n              79%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],7 x 0.75 x 9 inches,1.23 pounds,English,"O'Reilly Media; 1st edition (July 5, 2022)", 978-1098102937,/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_11?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-11
1,The Art of Statistics: How to Learn from Data,"['by ', 'David Spiegelhalter']",$17.99,448 pages,4.6 out of 5 stars,"2,764 ratings",['\n            \n              73%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              1%\n            \n          '],5.4 x 1.3 x 8.2 inches,13.6 ounces,English,"Basic Books (August 17, 2021)", 978-1541675704,/Art-Statistics-How-Learn-Data/dp/1541675703/ref=sr_1_7?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-7
2,"Statistics Laminate Reference Chart: Parameters, Variables, Intervals, Proportions (Quickstudy: Academic )","['by ', 'Inc. BarCharts']", $6.81 ,6 pages,4.6 out of 5 stars,"2,141 ratings",['\n            \n              76%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],8.5 x 11 x 0.06 inches,2.4 ounces,English,"Barcharts; Lam Crds edition (November 1, 2005)",,/Statistics-Laminate-Reference-Chart-Proportions/dp/1572229446/ref=sr_1_8?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-8
3,Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"['by ', 'Peter Bruce', ', ', 'Andrew Bruce', ', et al.']",$24.88,368 pages,4.6 out of 5 stars,655 ratings,['\n            \n              76%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 0.9 x 9.1 inches,1.3 pounds,English,"O'Reilly Media; 2nd edition (June 2, 2020)", 978-1492072942,/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_5?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-5
4,Statistics for People Who (Think They) Hate Statistics,[' '],$31.99,512 pages,4.5 out of 5 stars,697 ratings,['\n            \n              77%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              5%\n            \n          '],7 x 1.16 x 10 inches,1.95 pounds,English,"SAGE Publications, Inc; 7th edition (September 10, 2019)", 978-1544381855,/Statistics-People-Think-They-Hate/dp/1544381859/ref=sr_1_10?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-10
5,Naked Statistics: Stripping the Dread from the Data,[' '],$11.69,304 pages,4.6 out of 5 stars,"2,271 ratings",['\n            \n              72%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],5.5 x 0.8 x 8.2 inches,7.1 ounces,English,"W. W. Norton & Company; 1st edition (January 13, 2014)", 978-0393347777,/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_6?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-6
6,Statistics For Dummies (For Dummies (Lifestyle)),[' '],$11.99,416 pages,4.3 out of 5 stars,"1,659 ratings",['\n            \n              64%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],7.3 x 1.2 x 9.2 inches,1.69 pounds,English,"For Dummies; 2nd edition (June 7, 2016)", 978-1119293521,/Statistics-Dummies-Math-Science/dp/1119293529/ref=sr_1_9?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-9
7,Advanced Statistics for Health Research,"['by ', 'Richard J. Butler', ', ', 'Matthew J. Butler', ', et al.']",$108.00,300 pages,,,[],[],[],[],[],,1.74 pounds,English,"World Scientific Pub Co Inc (April 17, 2023)", 978-9811262302,/Advanced-Statistics-Health-Research-Richard/dp/9811262306/ref=sr_1_14?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-14
8,"Statistics, 11th Edition","['by ', 'Robert S. Witte', ' and ', 'John S. Witte']", $75.95 ,496 pages,4.5 out of 5 stars,97 ratings,['\n            \n              78%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],8 x 1.12 x 10 inches,2.4 pounds,English,"Wiley (January 17, 2017)",,/Statistics-11th-Robert-S-Witte/dp/1119386055/ref=sr_1_15?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-15
9,The Cartoon Guide to Statistics,"['by ', 'Larry Gonick', ' and ', 'Woollcott Smith']", $16.19 ,230 pages,4.4 out of 5 stars,738 ratings,['\n            \n              68%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              4%\n            \n          '],7.36 x 0.63 x 9.24 inches,11.4 ounces,English,"HarperPerennial; 1st edition (January 1, 1993)",,/Cartoon-Guide-Statistics-Larry-Gonick/dp/0062731025/ref=sr_1_16?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-16
10,"Statistics for Absolute Beginners (Second Edition) (Data Science, Python & Statistics for Beginners)","['by ', 'Oliver Theobald']",$14.88,156 pages,4.4 out of 5 stars,137 ratings,['\n            \n              70%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              6%\n            \n          '],6 x 0.39 x 9 inches,8.5 ounces,English,"Independently published (June 18, 2020)", 979-8654976123,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06017198DJ8304M1R4Q&url=%2FStatistics-Absolute-Beginners-Second-Theobald%2Fdp%2FB08BDZ2DCF%2Fref%3Dsr_1_4_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452985%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-4-spons%26psc%3D1&qualifier=1663452985&id=4337139339647806&widgetName=sp_atf
11,Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,"['by ', 'Jim Frost']",$18.91,255 pages,4.5 out of 5 stars,199 ratings,['\n            \n              72%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],6 x 0.58 x 9 inches,12.2 ounces,English,"Statistics By Jim Publishing (August 13, 2020)", 978-1735431109,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04620292602OL2X6I84G&url=%2FIntroduction-Statistics-Intuitive-Analyzing-Discoveries%2Fdp%2F1735431109%2Fref%3Dsr_1_1_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452985%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-1-spons%26psc%3D1&qualifier=1663452985&id=4337139339647806&widgetName=sp_atf
12,"Introduction to Probability, Statistics, and Random Processes","['by ', 'Hossein Pishro-Nik']",$36.58,744 pages,4.6 out of 5 stars,233 ratings,['\n            \n              80%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],7.44 x 1.68 x 9.69 inches,3.16 pounds,English,"Kappa Research, LLC (August 24, 2014)", 978-0990637202,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01928871JSHSV6VFQYWL&url=%2FIntroduction-Probability-Statistics-Random-Processes%2Fdp%2F0990637204%2Fref%3Dsr_1_3_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452985%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-3-spons%26psc%3D1&qualifier=1663452985&id=4337139339647806&widgetName=sp_atf
13,How to Lie with Statistics,"['by ', 'Darrell Huff', ' and ', 'Irving Geis']", $8.89 ,144 pages,4.6 out of 5 stars,"2,813 ratings",['\n            \n              72%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],5.5 x 0.5 x 8.3 inches,3.84 ounces,English,"W. W. Norton & Company; Reissue edition (October 17, 1993)",,/How-Lie-Statistics-Darrell-Huff/dp/0393310728/ref=sr_1_13?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-13
14,"Princeton Review AP Statistics Prep, 2022: 4 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)","['by ', 'The Princeton Review']",$18.99,464 pages,4.6 out of 5 stars,130 ratings,['\n            \n              77%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              3%\n            \n          '],8.3 x 1.04 x 10.79 inches,1.63 pounds,English,"Princeton Review (August 3, 2021)", 978-0525570745,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A029982238CTEEOQOYD70&url=%2FPrinceton-Review-Statistics-Prep-2022%2Fdp%2F0525570748%2Fref%3Dsr_1_2_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452985%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-2-spons%26psc%3D1&qualifier=1663452985&id=4337139339647806&widgetName=sp_atf
15,5 Steps to a 5: AP Statistics 2023,"['by ', 'Jared Derksen', ' and ', 'DeAnna Krause McDonald']",$18.00,384 pages,,,[],[],[],[],[],8.5 x 0.75 x 11 inches,1.25 pounds,English,"McGraw Hill; 1st edition (August 22, 2022)", 978-1264498628,/Steps-AP-Statistics-2023/dp/1264498624/ref=sr_1_59?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-59
16,The Probability and Statistics Tutor - 10 Hour Course - 3 DVD Set - Learn By Examples!,[], $39.99 ,,4.2 out of 5 stars,45 ratings,['\n            \n              65%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              20%\n            \n          '],[],7.5 x 5.5 x 0.5 inches; 4.8 Ounces,,,,,/Probability-Statistics-Tutor-Course-Examples/dp/B0016G8HX4/ref=sr_1_60?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-60
17,The Foundations of Statistics,"['by ', 'Leonard J. Savage']",$11.89,310 pages,4.5 out of 5 stars,102 ratings,['\n            \n              71%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],5.43 x 0.73 x 8.49 inches,12.6 ounces,English,"Dover Publications; 2nd Revised ed. edition (June 1, 1972)", 978-0486623498,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0426729JRVD6C0U480I&url=%2FFoundations-Statistics-Leonard-J-Savage%2Fdp%2F0486623491%2Fref%3Dsr_1_17_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452985%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-17-spons%26psc%3D1&qualifier=1663452985&id=4337139339647806&widgetName=sp_mtf
18,"Princeton Review AP Statistics Prep, 2023: 5 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)","['by ', 'The Princeton Review']",$18.99,464 pages,4.6 out of 5 stars,3 ratings,['\n            \n              63%\n            \n          '],['\n            \n              37%\n            \n          '],[],[],[],8.3 x 1.08 x 10.8 inches,1.55 pounds,English,"Princeton Review (August 23, 2022)", 978-0593450895,/Princeton-Review-Statistics-Prep-2023/dp/0593450892/ref=sr_1_54?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-54
19,Mathematical Statistics with Applications,"['by ', 'Dennis Wackerly', ', ', 'William Mendenhall', ', et al.']",$95.66,944 pages,4.2 out of 5 stars,282 ratings,['\n            \n              63%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              7%\n            \n          '],7.5 x 1.5 x 9.25 inches,3.6 pounds,English,"Thomson Brooks/Cole; 7th edition (January 1, 2008)", 978-0495110811,/Mathematical-Statistics-Applications-Dennis-Wackerly/dp/0495110817/ref=sr_1_56?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-56
20,Statistics in Plain English,"['by ', 'Timothy C. Urdan']",$39.16,266 pages,4.7 out of 5 stars,190 ratings,['\n            \n              80%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              2%\n            \n          '],[],8.5 x 0.65 x 11 inches,1.5 pounds,English,"Routledge; 4th edition (July 25, 2016)", 978-1138838345,/Statistics-Course-Pack-Set-Op/dp/1138838349/ref=sr_1_55?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-55
21,OpenIntro Statistics: Fourth Edition,"['by ', 'David Diez', ', ', 'Mine Çetinkaya-Rundel', ', et al.']", $20.00 ,422 pages,4.4 out of 5 stars,530 ratings,['\n            \n              73%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              6%\n            \n          '],8.5 x 0.96 x 11 inches,2.57 pounds,English,"OpenIntro, Inc. (May 1, 2019)",,/OpenIntro-Statistics-Fourth-David-Diez/dp/1943450072/ref=sr_1_57?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-57
22,The Signal and the Noise: Why So Many Predictions Fail--but Some Don't,"['by ', 'Nate Silver']", $17.62 ,576 pages,4.5 out of 5 stars,"1,934 ratings",['\n            \n              65%\n            \n          '],['\n            \n              22%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],5.5 x 1 x 8.4 inches,1.15 pounds,English,"Penguin Books; Illustrated edition (February 3, 2015)",,/Signal-Noise-Many-Predictions-Fail-but/dp/0143125087/ref=sr_1_58?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-58
23,Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions,"['by ', 'Jim Frost']",$23.74,381 pages,4.6 out of 5 stars,101 ratings,['\n            \n              78%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],6 x 0.86 x 9 inches,1.12 pounds,English,"Statistics By Jim Publishing (September 14, 2020)", 978-1735431154,/Hypothesis-Testing-Intuitive-Making-Decisions/dp/173543115X/ref=sr_1_52?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-52
24,Against the Gods: The Remarkable Story of Risk,"['by ', 'Peter L. Bernstein']", $11.79 ,400 pages,4.4 out of 5 stars,987 ratings,['\n            \n              67%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              2%\n            \n          '],6 x 1.2 x 8.9 inches,1.07 pounds,English,"Wiley; Edition Unstated (August 31, 1998)",,/Against-Gods-Remarkable-Story-Risk/dp/0471295639/ref=sr_1_53?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452985&sprefix=statisti%2Caps%2C263&sr=8-53
